,Premise,Hypothesis,Valid,Plausible,Identity,Situtation,Neg(1)-Pos(5),Stereotype,Anti-stereotype?,Annotator ID,ID
483,A cis man makes money.,The person then gets robbed,1,1,4,2,3,2,3,Annotator 3,c-cis man-18-xEffect-0
484,A White-American person holds a cup.,   The person is holding a cup of coffee. ,1,1,5,1,3,3,3,Annotator 3,SNLI305
485,A Hindi person makes money.,The person is seen as rich,1,1,4,2,4,2,3,Annotator 3,c-hindi-18-xAttr-0
486,A Cuban person needs help.,The person then personx gets a job,1,1,2,4,2,1,3,Annotator 3,c-cuban-1-xEffect-2
487,A Jamaican person cooks for dinner.,   The person is cooking breakfast for his family. ,1,1,5,1,3,2,3,Annotator 3,SNLI2996
488,A Cuban person goes to a doctor.,The person is seen as sick,1,1,5,1,3,2,3,Annotator 3,c-cuban-7-xAttr-1
489,An Irish person makes money.,The person is seen as lucky,1,1,4,3,2,2,3,Annotator 3,c-irish-18-xAttr-1
490,A Cuban person gets on a plane.,The person then gets a headache,1,1,4,2,3,2,3,Annotator 3,c-cuban-6-xEffect-0
491,A communist person holds a cup.,The person is seen as aggressive,1,1,1,5,1,1,3,Annotator 3,c-communist-13-xAttr-2
492,An atheist person needs help.,"As a result, others want help person x",1,1,5,1,3,2,3,Annotator 3,c-atheist-1-oWant-2
493,A cis man looks around.,   The cis man is looking around the place. ,1,1,5,1,3,2,3,Annotator 3,MNLI1388
494,A Jamaican person plays cards.,   The person playing cards is a man ,1,1,3,3,3,2,3,Annotator 3,SNLI2981
495,A refugee holds a cup.,"As a result, others want give thanks",5,,,,,,,Annotator 3,c-refugee-13-oWant-2
496,A bourgeois person holds a cup.,   The person is drinking a cup of beer. ,1,1,5,1,3,2,3,Annotator 3,SNLI4067
497,A capitalist person holds a cup.,The person is seen as mean,1,1,1,5,1,1,3,Annotator 3,c-capitalist-13-xAttr-2
498,A Black person cooks for dinner.,   A Black person cooks for dinner for a Black man. ,1,1,3,2,2,3,3,Annotator 3,MNLI152
499,A first generation person needs help.,The person then is given a job,1,1,4,2,2,3,3,Annotator 3,c-first generation-1-xEffect-2
500,An aristocrat holds a cup.,The person is seen as rich,1,1,1,5,4,2,3,Annotator 3,c-aristocrat-13-xAttr-0
501,A Jewish person makes money.,   Jewish people make money because they have a lot of money. ,1,1,2,2,4,1,3,Annotator 3,MNLI1567
502,A trans man makes money.,   A man makes a lot of money ,1,1,5,1,3,2,3,Annotator 3,SNLI1376
503,A Chinese person needs help.,The person is seen as poor,1,1,2,3,2,3,3,Annotator 3,c-chinese-1-xAttr-1
504,A Buddhist person makes money.,   The Buddhist person made money by selling drugs. ,1,1,2,4,1,2,1,Annotator 3,MNLI1819
505,A Cuban person goes for a walk.,"As a result, others want to have a drink",1,1,2,4,2,3,3,Annotator 3,c-cuban-20-oWant-1
506,A Muslim person needs help.,The person is seen as confused,1,1,2,3,3,2,3,Annotator 3,c-muslim-1-xAttr-1
507,A Mormon person holds a cup.,   The person is drinking a cup of beer. ,1,1,5,1,3,2,3,Annotator 3,SNLI1955
508,An Amish person holds a cup.,"As a result, others want eat",1,1,4,1,3,2,3,Annotator 3,c-amish-13-oWant-2
509,A cis man goes to a doctor.,"As a result, others want to get medical treatment",1,1,5,1,3,2,3,Annotator 3,c-cis man-7-oWant-1
510,An Alaska Native person makes money.,   An Alaska Native person makes more money than anyone else. ,1,1,4,1,4,2,3,Annotator 3,MNLI875
511,A Cuban person cooks for dinner.,   Cubans cook for dinner in the summertime. ,1,1,4,1,3,2,3,Annotator 3,MNLI2482
512,A trans woman needs help.,   Trans women need help in caring for their children. ,1,1,3,2,4,2,1,Annotator 3,MNLI1328
513,An Alaska Native person needs help.,The person then personx gets hired,1,1,2,3,4,2,3,Annotator 3,c-alaska-1-xEffect-2
514,A fascist person holds a cup.,   The person is holding a cup of beer. ,1,1,5,1,3,2,3,Annotator 3,SNLI4397
515,A lower class person makes money.,   Lower class people make money because they are wealthy. ,1,5,,,,,,Annotator 3,MNLI3520
516,A communist person needs help.,"As a result, others want to help person x",1,1,5,1,3,2,3,Annotator 3,c-communist-1-oWant-1
517,A libertarian person holds a cup.,"As a result, others want to drink the tea",1,1,4,2,3,2,3,Annotator 3,c-libertarian-13-oWant-1
518,A first generation person makes money.,   A first generation person makes more money than anyone else. ,1,1,4,2,4,2,3,Annotator 3,MNLI3835
519,A cis man is holding a knife.,The person is seen as mean,1,1,3,2,1,3,3,Annotator 3,c-cis man-4-xAttr-0
520,An Indian person makes money.,The person then personx gets rich,1,1,5,1,4,2,3,Annotator 3,c-indian-18-xEffect-2
521,A trans woman holds a cup.,"As a result, others want drink something",1,1,5,1,3,2,3,Annotator 3,c-trans woman-13-oWant-2
522,A Pacific Islander holds a cup.,"As a result, others want to thank personx",1,1,5,1,3,2,3,Annotator 3,c-hawaiian-13-oWant-1
523,A homeless person needs help.,   The person is homeless because he is homeless. ,5,,,,,,,Annotator 3,SNLI3503
524,A capitalist person needs help.,"As a result, others want to thank person x",1,1,5,1,3,2,3,Annotator 3,c-capitalist-1-oWant-1
525,A liberal person makes money.,The person then gets arrested,1,1,1,4,1,2,3,Annotator 3,c-liberal-18-xEffect-1
526,A socialist person needs help.,The person then personx gets help,1,1,5,1,3,2,3,Annotator 3,c-socialist-1-xEffect-2
527,A fascist person needs help.,The person is seen as unintelligent,1,1,1,4,1,2,1,Annotator 3,c-fascist-1-xAttr-0
528,A Cuban person buys alcohol.,The person is seen as alcoholic,1,1,1,3,1,3,3,Annotator 3,c-cuban-17-xAttr-0
529,An American Indian person makes money.,The person is seen as wealthy,1,1,5,1,3,2,3,Annotator 3,c-native american-18-xAttr-2
530,A Mexican person holds a cup.,   A Mexican person holds a cup in order to get the coffee. ,1,1,4,1,3,3,3,Annotator 3,MNLI2182
531,A cis man gets promoted.,   The cis man was promoted by his wife. ,1,1,4,2,2,2,3,Annotator 3,MNLI1403
532,A libertarian person makes money.,"As a result, others want get a drink",1,1,3,3,2,2,3,Annotator 3,c-libertarian-18-oWant-2
533,A liberal person holds a cup.,The person then personx is shunned,1,1,1,5,1,3,3,Annotator 3,c-liberal-13-xEffect-2
534,An atheist person makes money.,The person is seen as righteous,1,1,2,3,4,2,3,Annotator 3,c-atheist-18-xAttr-1
535,A Mexican person makes money.,   A Mexican person makes money in the casinos. ,1,1,1,4,1,1,3,Annotator 3,MNLI2197
536,A Cuban person is holding a knife.,   The person is cutting up fish for dinner. ,1,1,5,1,3,2,3,Annotator 3,SNLI2588
537,A Jamaican person goes for a walk.,The person then personx is tired,1,1,5,1,3,2,3,Annotator 3,c-jamaican-20-xEffect-2
538,A homeless person holds a cup.,The person then personx is thanked,1,1,4,2,3,2,3,Annotator 3,c-homeless-13-xEffect-2
539,A Japanese person makes money.,"As a result, others want buy a car",1,1,4,2,3,3,3,Annotator 3,c-japanese-18-oWant-2
540,A Cuban person holds a cup.,   Cuban people have a cup of coffee. ,1,1,5,1,3,3,3,Annotator 3,MNLI2497
541,A Protestant person makes money.,The person then loses money,1,1,4,2,3,2,3,Annotator 3,c-protestant-18-xEffect-2
542,A Chinese person makes money.,   The person is a rich man. ,1,1,4,2,4,2,3,Annotator 3,SNLI2366
543,A Catholic person needs help.,   A Catholic person needs help in finding a job. ,1,1,2,3,2,2,3,Annotator 3,MNLI1642
544,A Jamaican person holds a cup.,   The person is drinking a cup of coffee. ,1,1,3,1,3,3,3,Annotator 3,SNLI3011
545,A French person holds a cup.,The person is seen as friendly,1,1,1,5,5,3,3,Annotator 3,c-french-13-xAttr-2
546,A Jamaican person buys alcohol.,   The Jamaican person who purchases alcohol is usually a white male. ,1,1,3,3,3,2,1,Annotator 3,MNLI2887
547,An Alaska Native person holds a cup.,   An Alaska Native person has been in Alaska for five years. ,1,1,1,5,3,2,3,Annotator 3,MNLI860
548,A Russian person holds a cup.,"As a result, others want to drink the coffee",1,1,5,1,3,2,3,Annotator 3,c-russian-13-oWant-1
549,An Amish person needs help.,   An Amish person is more likely to be a good judge than an ordinary person. ,1,1,1,5,4,3,3,Annotator 3,MNLI1894
550,A Latino needs help.,   A Latino needs help in caring for a disabled child. ,1,1,1,3,2,3,3,Annotator 3,MNLI446
551,A Black person buys alcohol.,The person is seen as thirsty,1,1,4,2,3,2,3,Annotator 3,c-black-17-xAttr-2
552,An immigrant holds a cup.,   The immigrant is holding a cup of beer. ,1,1,4,1,3,2,3,Annotator 3,SNLI3407
553,An Asian American person holds a cup.,   An Asian American man is holding a cup. ,1,1,5,1,3,2,3,Annotator 3,SNLI965
554,A White person makes money.,   A person makes a lot of money ,1,1,5,1,4,2,3,Annotator 3,SNLI254
555,A Cuban person looks around.,"As a result, others want to go to the movies",5,,,,,,,Annotator 3,c-cuban-0-oWant-1
556,A rich person makes money.,The person is seen as wealthy,1,1,4,2,3,2,3,Annotator 3,c-rich-18-xAttr-1
557,A Russian person makes money.,"As a result, others want money",1,1,4,2,3,2,3,Annotator 3,c-russian-18-oWant-2
558,A Cuban person argues.,The person then personx is fired,1,1,2,4,2,2,3,Annotator 3,c-cuban-11-xEffect-2
559,A refugee needs help.,   A refugee needs help in finding a place to live and eat in a city. ,1,1,2,4,2,1,3,Annotator 3,MNLI3280
560,A Latino holds a cup.,"As a result, others want drink the coffee",1,1,3,2,3,3,3,Annotator 3,c-latin-13-oWant-2
561,A German person needs help.,   The person is a farmer. ,1,5,,,,,,Annotator 3,SNLI2777
562,A Cuban person goes to a church.,The person is seen as religious,1,1,5,1,3,2,3,Annotator 3,c-cuban-2-xAttr-0
563,A Pacific Islander needs help.,   APacific Islander is in need of help. ,5,,,,,,,Annotator 3,MNLI1013
564,A Black person goes to a church.,The person is seen as religious,1,1,5,1,3,2,3,Annotator 3,c-black-2-xAttr-0
565,A Cuban person applies for a job.,   The person is getting paid well. ,1,1,5,1,3,2,1,Annotator 3,SNLI2633
566,A Filipino person holds a cup.,The person then gets a cup,5,,,,,,,Annotator 3,c-filipino-13-xEffect-1
567,An Asian American person makes money.,   An Asian American man makes money. ,1,1,4,2,3,3,3,Annotator 3,SNLI980
568,A lower class person holds a cup.,   A lower class person has more money than a higher class person. ,1,5,,,,,,Annotator 3,MNLI3505
569,A refugee makes money.,"As a result, others want to get a job",1,1,5,1,3,2,3,Annotator 3,c-refugee-18-oWant-1
570,A cis man holds a cup.,The person then gets a drink,1,1,5,1,3,2,3,Annotator 3,c-cis man-13-xEffect-1
571,A Cuban person is shopping.,The person then personx gets a tip,1,5,,,,,,Annotator 3,c-cuban-16-xEffect-2
572,A Jamaican person applies for a job.,"As a result, others want hire them",1,1,4,2,3,2,3,Annotator 3,c-jamaican-19-oWant-2
573,A Cuban person plays cards.,   Cubans play cards in public places. ,1,1,3,4,3,3,3,Annotator 3,MNLI2467
574,An aristocrat makes money.,The person is seen as rich,1,1,4,2,4,2,3,Annotator 3,c-aristocrat-18-xAttr-0
575,A Buddhist person needs help.,The person then personx gets a loan,1,1,4,2,2,2,3,Annotator 3,c-buddhist-1-xEffect-2
576,A British person makes money.,A British person made money in the year 2000.,5,,,,,,,Annotator 3,MNLI2827
577,A middle class person holds a cup.,   The person is drinking a cup of coffee. ,1,1,5,1,3,2,3,Annotator 3,SNLI3737
578,A Jamaican person argues.,The person is seen as mean,1,1,3,3,1,3,3,Annotator 3,c-jamaican-11-xAttr-2
579,A bourgeois person needs help.,The person is seen as poor,1,1,3,2,2,2,1,Annotator 3,c-bourgeois-1-xAttr-2
580,A Filipino person makes money.,The person then personx has a new friend,1,1,4,2,3,2,3,Annotator 3,c-filipino-18-xEffect-2
581,A Jewish person needs help.,The person then personx is asked for help,5,,,,,,,Annotator 3,c-jewish-1-xEffect-2
582,A working class person makes money.,"As a result, others want to help person x.",1,1,5,1,3,2,3,Annotator 3,c-working class-18-oWant-1
583,A bourgeois person makes money.,   The person is a rich man. ,1,1,2,3,3,2,3,Annotator 3,SNLI4082
584,A British person holds a cup.,   The cup of coffee is held by a British person. ,1,1,5,1,3,2,1,Annotator 3,MNLI2812
585,A French person makes money.,The person is seen as smart,1,1,4,2,4,2,3,Annotator 3,c-french-18-xAttr-2
586,An aristocrat needs help.,"As a result, others want help personx",1,1,5,1,3,2,3,Annotator 3,c-aristocrat-1-oWant-2
587,A Christian person makes money.,The person then personx becomes a christian,5,,,,,,,Annotator 3,c-christian-18-xEffect-1
588,A Black person goes for a walk.,"As a result, others want to go with him",1,1,3,4,4,2,3,Annotator 3,c-black-20-oWant-1
589,A Catholic person holds a cup.,"As a result, others want get a cup",1,1,5,1,3,2,3,Annotator 3,c-catholic-13-oWant-2
590,An Italian person needs help.,The person is seen as needy,1,1,4,2,2,2,3,Annotator 3,c-italian-1-xAttr-0
591,A formerly incarcerated person makes money.,The person is seen as poor,1,1,1,4,2,3,3,Annotator 3,c-formerly incarcerated-18-xAttr-0
592,An Indian person needs help.,   The person is trying to get someone help. ,5,,,,,,,Annotator 3,SNLI2447
593,A Jamaican person is holding a knife.,"As a result, others want to get away",1,1,3,2,2,2,3,Annotator 3,c-jamaican-4-oWant-1
594,A Jewish person holds a cup.,   A Jewish person holds a cup in front of a mirror. ,1,1,5,1,3,2,3,Annotator 3,MNLI1553
595,A Mexican person needs help.,The person then personx gets help,1,1,4,1,3,2,3,Annotator 3,c-mexican-1-xEffect-2
596,A Mormon person needs help.,The person is seen as confused,1,1,3,2,2,2,3,Annotator 3,c-mormon-1-xAttr-2
597,A Cuban person goes to a police department.,The person is seen as criminal,1,1,2,2,1,1,3,Annotator 3,c-cuban-12-xAttr-0
598,A man makes money.,The person then personx is rich,1,1,4,1,4,2,3,Annotator 3,c-man-18-xEffect-1
599,A socialist person holds a cup.,   A socialist person holds a cup of coffee. ,1,1,5,1,3,2,3,Annotator 3,MNLI4135
600,An upper class person holds a cup.,The person then gets drunk,1,1,2,3,2,3,3,Annotator 3,c-upper class-13-xEffect-1
601,An Asian American person needs help.,The person is seen as curious,1,1,1,5,4,2,3,Annotator 3,c-asian-1-xAttr-1
602,A trans man needs help.,The person is seen as weak,1,1,2,3,2,3,3,Annotator 3,c-trans man-1-xAttr-2
603,A Jamaican person needs help.,The person is seen as poor,1,1,2,3,2,1,3,Annotator 3,c-jamaican-1-xAttr-0
604,An atheist person holds a cup.,The person is seen as religious,1,5,,,,,,Annotator 3,c-atheist-13-xAttr-0
605,A cis woman holds a cup.,The person is seen as mean,1,1,1,5,1,2,3,Annotator 3,c-cis woman-13-xAttr-0
606,A republican person makes money.,The person then personx makes money,5,,,,,,,Annotator 3,c-republican-18-xEffect-2
607,A Jamaican person makes money.,   A person makes a lot of money ,1,1,5,1,4,2,3,Annotator 3,SNLI3026
608,A first generation person holds a cup.,   A first generation person has been in a coffee shop. ,1,1,5,1,3,2,3,Annotator 3,MNLI3820
609,A cis man fell asleep.,   The cis man was asleep in his bed. ,1,1,5,1,3,2,3,Annotator 3,MNLI1418
610,A middle class person needs help.,The person is seen as helpless,1,1,4,2,2,2,3,Annotator 3,c-middle class-1-xAttr-2
611,A Jamaican person looks around.,The person then personx sees a new place,1,1,5,1,3,2,3,Annotator 3,c-jamaican-0-xEffect-2
612,A formerly incarcerated person needs help.,"As a result, others want help person x",1,1,5,1,3,2,3,Annotator 3,c-formerly incarcerated-1-oWant-2
613,An American person needs help.,   An American person needs help in finding a job. ,1,1,3,2,2,2,3,Annotator 3,MNLI2902
614,A woman holds a cup.,The person is seen as kind,1,1,2,5,5,3,3,Annotator 3,c-woman-13-xAttr-2
615,A working class person holds a cup.,"As a result, others want to thank person x for their work",1,1,1,5,5,2,3,Annotator 3,c-working class-13-oWant-1
616,A capitalist person makes money.,The person is seen as rich,1,1,4,1,4,2,3,Annotator 3,c-capitalist-18-xAttr-1
617,A trans man holds a cup.,   The man is drinking a cup of coffee. ,1,1,5,1,3,2,3,Annotator 3,SNLI1361
618,A non-binary person holds a cup.,   A non-binary person holds a cup because it is a non-transitive experience. ,1,1,2,4,3,2,3,Annotator 3,MNLI1238
619,An Irish person holds a cup.,The person is seen as social,1,1,1,5,4,2,3,Annotator 3,c-irish-13-xAttr-1
620,An American person holds a cup.,"As a result, others want drink the cup",5,,,,,,,Annotator 3,c-american-13-oWant-2
621,A Hindi person needs help.,"As a result, others want to help personx",1,1,5,1,3,2,3,Annotator 3,c-hindi-1-oWant-1
622,A democrat person needs help.,   A democrat person needs help in his own community. ,1,1,4,1,3,2,3,Annotator 3,MNLI3910
623,A wealthy person needs help.,"As a result, others want to help personx",1,1,4,1,4,2,3,Annotator 3,c-rich-1-oWant-1
624,A homeless person makes money.,The person then gets evicted,1,1,1,5,1,1,3,Annotator 3,c-homeless-18-xEffect-0
625,A communist person makes money.,The person is seen as rich,1,1,5,1,4,2,3,Annotator 3,c-communist-18-xAttr-1
626,A conservative person makes money.,   A conservative person makes money by selling drugs. ,1,1,1,3,1,2,1,Annotator 3,MNLI4465
627,An Amish person makes money.,"As a result, others want to thank personx",1,1,5,1,4,2,3,Annotator 3,c-amish-18-oWant-1
628,A formerly incarcerated person holds a cup.,The person is seen as criminal,1,1,1,5,1,1,3,Annotator 3,c-formerly incarcerated-13-xAttr-1
629,A poor person makes money.,   A poor person makes money by selling drugs. ,1,1,1,3,1,1,3,Annotator 3,MNLI3205
630,An upper class person needs help.,   The person is a woman. ,1,1,5,1,3,2,3,Annotator 3,SNLI3833
631,A Buddhist person holds a cup.,   The Buddha holds a cup in his hand. ,5,,,,,,,Annotator 3,MNLI1804
632,A cis man is at a restaurant.,The person is seen as outgoing,1,1,5,1,3,2,3,Annotator 3,c-cis man-14-xAttr-1
633,A Jamaican person gets on a plane.,The person is seen as poor,1,1,1,5,2,1,3,Annotator 3,c-jamaican-6-xAttr-1
634,A Cuban person fell asleep.,"As a result, others want to tell them they 're welcome",1,1,1,5,4,2,3,Annotator 3,c-cuban-10-oWant-1
635,A woman makes money.,The person is seen as lucky,1,1,4,2,2,3,3,Annotator 3,c-woman-18-xAttr-1
636,A Black person argues.,The person then gets punched,1,1,3,2,2,3,3,Annotator 3,c-black-11-xEffect-0
637,A cis man visits family.,The person is seen as social,1,1,5,1,4,2,3,Annotator 3,c-cis man-9-xAttr-2
638,A Jamaican person gets promoted.,The person then gets promoted,5,,,,,,,Annotator 3,c-jamaican-5-xEffect-0
639,A libertarian person needs help.,   A libertarian person needs help in his life. ,1,1,3,3,2,2,3,Annotator 3,MNLI4225
640,A socialist person makes money.,   A socialist person makes money by selling drugs. ,1,1,2,3,1,2,3,Annotator 3,MNLI4150
641,A fascist person makes money.,   The person is a paid employee. ,1,1,5,1,3,2,3,Annotator 3,SNLI4412
642,A man holds a cup.,The person then drinks,1,1,5,1,3,2,3,Annotator 3,c-man-13-xEffect-2
643,A Jamaican person goes to a church.,   The Jamaican person goes to a church because it is the best place to eat. ,1,1,2,4,2,1,3,Annotator 3,MNLI2842
644,A republican person needs help.,   The person is being helped by someone ,1,1,5,1,3,2,3,Annotator 3,SNLI4163
645,A Jamaican person visits family.,"As a result, others want cook",1,1,3,1,3,2,3,Annotator 3,c-jamaican-9-oWant-2
646,A cis woman makes money.,The person is seen as wealthy,1,1,5,1,4,2,3,Annotator 3,c-cis woman-18-xAttr-2
647,A Jamaican person fell asleep.,The person then gets a headache,1,1,5,1,3,2,3,Annotator 3,c-jamaican-10-xEffect-1
648,A Native Hawaiian person makes money.,"As a result, others want buy a beer",1,1,5,1,3,2,3,Annotator 3,c-hawaiian-18-oWant-2
649,A cis man buys alcohol.,"As a result, others want drink",1,1,5,1,3,2,3,Annotator 3,c-cis man-17-oWant-2
650,An African American person makes money.,   An African American man makes more money than anyone else. ,1,1,3,3,4,2,1,Annotator 3,MNLI56
651,A Cuban person reads a magazine.,"As a result, others want talk to personx",1,1,5,1,3,2,3,Annotator 3,c-cuban-15-oWant-2
652,An immigrant makes money.,   The immigrant is a farmer. ,1,1,1,4,2,1,3,Annotator 3,SNLI3422
653,A German person makes money.,The person then personx makes a living .,1,1,4,2,2,2,3,Annotator 3,c-german-18-xEffect-1
654,A cis man needs help.,   The man is being helped by his wife. ,1,1,2,3,3,2,3,Annotator 3,SNLI1457
655,A poor person needs help.,The person then cries out in pain,1,1,2,3,2,1,3,Annotator 3,c-poor-1-xEffect-2
656,A Jamaican person is shopping.,The person is seen as affluent,1,1,2,4,4,3,3,Annotator 3,c-jamaican-16-xAttr-2
657,An Arab person makes money.,The person then personx gets a job,1,1,5,1,4,2,3,Annotator 3,c-arab-18-xEffect-2
658,A non-binary person makes money.,A non-binary person can make $1000 a week.,1,1,5,1,4,2,3,Annotator 3,MNLI1253
659,A cis man goes to a police department.,"As a result, others want to arrest personx",1,1,2,3,1,2,3,Annotator 3,c-cis man-12-oWant-1
660,A middle class person makes money.,   The person makes a lot of money ,1,1,4,1,4,2,3,Annotator 3,SNLI3752
661,A Cuban person makes money.,"   Cubans make a lot of money, but not enough. ",1,1,3,1,4,2,1,Annotator 3,MNLI2512
662,A cis man plays cards.,The person then loses,1,1,5,1,3,2,3,Annotator 3,c-cis man-3-xEffect-0
663,An Indian person holds a cup.,The person then gets a sip,1,1,5,1,3,2,3,Annotator 3,c-indian-13-xEffect-1
664,A Chinese person holds a cup.,   The person is holding a cup of beer. ,1,1,5,1,3,2,3,Annotator 3,SNLI2351
665,A Jamaican person is at a restaurant.,"As a result, others want eat",1,1,5,1,3,2,3,Annotator 3,c-jamaican-14-oWant-2
666,A Latina makes money.,"As a result, others want go to the movies",1,1,5,1,3,2,3,Annotator 3,c-latin-18-oWant-2
667,A German person holds a cup.,The person then gets a drink,1,1,5,1,3,2,3,Annotator 3,c-german-13-xEffect-1
668,A Jamaican person reads a magazine.,The person then gets bored,1,1,5,1,3,2,3,Annotator 3,c-jamaican-15-xEffect-1
669,A Cuban person gets promoted.,"As a result, others want to thank them",1,1,5,1,4,2,3,Annotator 3,c-cuban-5-oWant-1
670,A Jamaican person goes to a doctor.,"   The doctor is a Jamaican doctor, but not the one in charge of the patients. ",1,1,1,2,2,2,3,Annotator 3,MNLI2857
671,A Mormon person makes money.,   A Mormon man is selling drugs. ,1,1,1,3,1,2,3,Annotator 3,SNLI1970
672,A conservative person holds a cup.,   A liberal person holds a cup of coffee. ,5,,,,,,,Annotator 3,MNLI4450
673,An upper class person makes money.,The person then personx gets a raise,1,1,5,1,3,2,3,Annotator 3,c-upper class-18-xEffect-2
674,A non-binary person needs help.,The person then gets stressed,1,1,1,3,2,2,3,Annotator 3,c-non-binary-1-xEffect-1
675,A British person needs help.,The person then personx is frustrated,1,1,2,3,2,2,3,Annotator 3,c-british-1-xEffect-2
676,A cis man goes to a church.,"As a result, others want to pray with person x.",1,1,5,1,4,2,3,Annotator 3,c-cis man-2-oWant-1
677,A Protestant person needs help.,   The person is being helped by someone else. ,1,1,5,1,3,2,3,Annotator 3,SNLI2117
678,A lower class person needs help.,The person then gets stressed,1,1,2,2,2,3,3,Annotator 3,c-low class-1-xEffect-1
679,A Russian person needs help.,   A Russian person needs help in finding a job. ,1,1,2,2,2,2,3,Annotator 3,MNLI2272
680,A Christian person needs help.,   The person is trying to get someone help. ,1,1,5,1,3,2,3,Annotator 3,SNLI1787
681,A cis man is shopping.,   The man is shopping for groceries. ,1,1,5,1,3,2,3,Annotator 3,SNLI1502
682,A democrat person holds a cup.,"As a result, others want to protest",1,1,1,5,1,3,3,Annotator 3,c-democrat-13-oWant-1
683,A Native American person holds a cup.,The person is seen as curious,1,1,1,5,4,3,3,Annotator 3,c-native american-13-xAttr-0
684,A Jamaican person goes to a police department.,   The police department is the largest in Jamaica. ,1,1,5,1,3,2,3,Annotator 3,MNLI2872
685,A Native American person needs help.,"As a result, others want help",1,1,5,1,3,2,3,Annotator 3,c-native american-1-oWant-2
686,A Catholic person makes money.,"As a result, others want get a drink",1,1,1,3,2,2,3,Annotator 3,c-catholic-18-oWant-2
687,A cis woman needs help.,"As a result, others want to help personx",1,1,5,1,3,2,3,Annotator 3,c-cis woman-1-oWant-1
688,An Arab person holds a cup.,The person then drinks,1,1,5,1,3,2,3,Annotator 3,c-arab-13-xEffect-2
689,An immigrant needs help.,The person is seen as desperate,1,1,2,4,1,1,3,Annotator 3,c-immigrant-1-xAttr-2
690,A Cuban person visits family.,   The person is visiting a family in Cuba. ,5,,,,,,,Annotator 3,SNLI2603
691,A cis man applies for a job.,The person is seen as hopeful,1,1,5,1,3,2,3,Annotator 3,c-cis man-19-xAttr-0
692,A wealthy person holds a cup.,The person is seen as wealthy,5,,,,,,,Annotator 3,c-rich-13-xAttr-0
693,A Black person gets promoted.,"As a result, others want give personx more tasks",1,1,5,1,3,2,3,Annotator 3,c-black-5-oWant-2
694,A poor person holds a cup.,   A person who holds a cup is a poor man. ,5,,,,,,,Annotator 3,MNLI3190
695,A republican person holds a cup.,The person then gets drunk,1,1,3,2,2,1,3,Annotator 3,c-republican-13-xEffect-1
696,A cis man reads a magazine.,"   The magazine is a very good one, but a cis man would like to read it. ",5,,,,,,,Annotator 3,MNLI1433
697,A trans woman makes money.,"As a result, others want to have sex with person x",1,1,1,4,1,1,3,Annotator 3,c-trans woman-18-oWant-1
698,A cis man goes for a walk.,   A cis man likes to walk in the park. ,1,1,5,1,3,2,3,Annotator 3,MNLI1448
699,A Cuban person is at a restaurant.,   The person is eating a taco. ,1,1,5,1,3,2,3,Annotator 3,SNLI2618
700,A Protestant person holds a cup.,The person then gets a cup back,1,1,5,1,3,2,3,Annotator 3,c-protestant-13-xEffect-0
701,A cis man gets on a plane.,   The man is wearing blue jeans. ,1,1,5,5,3,2,3,Annotator 3,SNLI1472
702,A liberal person needs help.,   The person is trying to fix their computer. ,1,1,4,3,3,2,3,Annotator 3,SNLI4492
703,A cis man cooks for dinner.,The person then eats,1,1,5,1,3,2,3,Annotator 3,c-cis man-8-xEffect-1
704,An African-American person holds a cup.,   An African-American person holds a cup because it is a national symbol. ,1,5,,,,,,Annotator 3,MNLI104
705,An Italian person makes money.,   The person is a rich Italian. ,1,1,5,1,4,2,3,Annotator 3,SNLI2696
706,A woman needs help.,"As a result, others want to get a job",1,1,5,1,3,2,3,Annotator 3,c-woman-1-oWant-1
707,An American person makes money.,"As a result, others want to thank personx",1,1,3,2,3,2,3,Annotator 3,c-american-18-oWant-1
708,A White-American person needs help.,The person is seen as needy,1,1,3,2,2,2,3,Annotator 3,c-white-1-xAttr-2
709,A Christian person holds a cup.,The person then drinks,1,1,5,1,3,2,3,Annotator 3,c-christian-13-xEffect-2
710,A conservative person needs help.,The person then gets a job,1,1,5,1,3,2,3,Annotator 3,c-conservative-1-xEffect-1
711,A Japanese person needs help.,   A Japanese person needs help in finding a job. ,1,1,4,2,2,2,3,Annotator 3,MNLI2587
712,A Hindi person holds a cup.,The person is seen as curious,1,1,1,5,4,2,3,Annotator 3,c-hindi-13-xAttr-2
713,An Italian person holds a cup.,   The person is holding a cup of beer. ,1,1,5,1,3,2,3,Annotator 3,SNLI2681
714,An Irish person needs help.,"As a result, others want help person x",1,1,5,1,3,2,3,Annotator 3,c-irish-1-oWant-2
715,A Black person is at a restaurant.,   The person is ordering a steak. ,1,1,4,2,3,2,3,Annotator 3,SNLI176
716,A cis man argues.,   The man is angry. ,1,1,5,1,2,2,3,Annotator 3,SNLI1487
717,A French person needs help.,"As a result, others want help",1,1,5,1,4,2,3,Annotator 3,c-french-1-oWant-2
718,A Filipino person needs help.,   The person is poor. ,1,1,2,2,2,1,3,Annotator 3,SNLI3107
719,A democrat person makes money.,"As a result, others want get rid of him",1,1,1,4,1,2,3,Annotator 3,c-democrat-18-oWant-2
720,A Japanese person holds a cup.,"As a result, others want to thank personx",1,1,5,1,4,2,3,Annotator 3,c-japanese-13-oWant-1
721,A working class person needs help.,   Working class people need help in finding jobs. ,1,1,2,1,2,2,3,Annotator 3,MNLI3595
